Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2012-01-01,,,,27,12,,,,,,,,,5.6
Bonneville,2012-01-02,,,,13,5,,,,,,,,,5.6
Bonneville,2012-01-03,,,,13,10,,,,,,,,,5.6
Bonneville,2012-01-04,,,,18,12,,,,,,,,,5
Bonneville,2012-01-05,,,,9,5,,,,,,,,,5.6
Bonneville,2012-01-06,,,,5,1,,,,,,,,,5.6
Bonneville,2012-01-07,,,,15,5,,,,,,,,,5.6
Bonneville,2012-01-08,,,,15,7,,,,,,,,,5
Bonneville,2012-01-09,,,,16,4,,,,,,,,,5
Bonneville,2012-01-10,,,,7,,,,,,,,,,5.6
Bonneville,2012-01-11,,,,2,1,,,,,,,,,5
Bonneville,2012-01-12,,,,6,2,,,,,,,,,5
Bonneville,2012-01-13,,,,6,2,,,,,,,,,4.4
Bonneville,2012-01-14,,,,3,3,,,,,,,,,4.4
Bonneville,2012-01-15,,,,4,,,,,,,,,,4.4
Bonneville,2012-01-16,,,,4,1,,,,,,,,,3.3
Bonneville,2012-01-17,,,,6,3,,,,,,,,,3.3
Bonneville,2012-01-18,,,,5,2,,,,,,,,,3.9
Bonneville,2012-01-19,,,,7,,,,,,,,,,3.3
Bonneville,2012-01-20,,,,5,2,,,,,,,,,3.9
Bonneville,2012-01-21,,,,9,5,,,,,,,,,3.9
Bonneville,2012-01-22,,,,4,,,,,,,,,,3.3
Bonneville,2012-01-23,,,,14,4,,,,,,,,,3.3
Bonneville,2012-01-24,,,,4,3,,,,,,,,,3.3
Bonneville,2012-01-25,,1,1,4,,,,,,,,,,3.9
Bonneville,2012-01-26,,,,4,2,,,,,,,,,3.9
Bonneville,2012-01-27,,,,2,1,,,,,,,,,3.3
Bonneville,2012-01-28,,,,14,4,,,,,,,,,3.3
Bonneville,2012-01-29,,,,11,4,,,,,,,,,3.3
Bonneville,2012-01-30,,,,24,8,,,,,,,,,3.3
Bonneville,2012-01-31,,,,4,,,,,,,,,,3.3
Bonneville,2012-02-01,,,,8,2,,,,,,,,,3.3
Bonneville,2012-02-02,,,,16,5,,,,,,,,,3.3
Bonneville,2012-02-03,,,,8,4,,,,,,,,,3.3
Bonneville,2012-02-04,,,,5,,,,,,,,,,3.3
Bonneville,2012-02-05,,,,11,2,,,,,,,,,3.3
Bonneville,2012-02-06,,,,1,,,,,,,,,,3.3
Bonneville,2012-02-07,,,,4,2,,,,,,,,,3.3
Bonneville,2012-02-08,,,,1,1,,,,,,,,,2.8
Bonneville,2012-02-09,,,,8,1,,,,,,,,,3.3
Bonneville,2012-02-10,,,,17,2,,,,,,,,,3.3
Bonneville,2012-02-11,,,,17,3,,,,,,,,,3.9
Bonneville,2012-02-12,,,,28,10,,,,,,,,,3.3
Bonneville,2012-02-13,,,,9,3,,,,,,,,,3.9
Bonneville,2012-02-14,,,,4,1,,,,,,,,,3.9
Bonneville,2012-02-15,,,,9,4,,,,,,,,,3.9
Bonneville,2012-02-16,,,,8,2,,,,,,,,,3.9
Bonneville,2012-02-17,,,,9,2,,,,,,,,,3.9
Bonneville,2012-02-18,,,,9,3,,,,,,,,,3.9
Bonneville,2012-02-19,,,,10,4,,,,,,,,,3.3
Bonneville,2012-02-20,,,,5,-1,,,,,,,,,3.3
Bonneville,2012-02-21,,,,18,4,,,,,,,,,3.9
Bonneville,2012-02-22,,,-1,110,32,,,,,,,,,4.4
Bonneville,2012-02-23,,,,108,38,,,,,,,,,4.4
Bonneville,2012-02-24,,,,131,46,,,,,,,,,4.4
Bonneville,2012-02-25,,,,37,12,,,,,,,,,4.4
Bonneville,2012-02-26,,,,15,4,,,,,,,,,4.4
Bonneville,2012-02-27,,,,25,14,,,,,,,,,14.2
Bonneville,2012-02-28,,,,26,8,,,,,,,,,4.4
Bonneville,2012-02-29,,,,12,6,,,,,,,,,4.4
Bonneville,2012-03-01,,,,13,5,,,,,,,,,4.4
Bonneville,2012-03-02,,,,24,8,,,,,,,,,4.4
Bonneville,2012-03-03,,,,32,12,,,,,,,,,4.4
Bonneville,2012-03-04,,2,,47,17,,,,,,,,,4.4
Bonneville,2012-03-05,,,1,60,20,,,,,,,,,5
Bonneville,2012-03-06,,1,,37,15,,,,,,,,,5.6
Bonneville,2012-03-07,,3,,57,20,,,,,,,,,5.6
Bonneville,2012-03-08,,,,49,17,,,,,,,,,5.6
Bonneville,2012-03-09,,,,41,16,,,,,,,,,5.6
Bonneville,2012-03-10,,,,42,5,,,,,,,,,5
Bonneville,2012-03-11,,4,,52,19,,,,,,,,,5.6
Bonneville,2012-03-12,,1,,50,13,,,,,,,,,5.6
Bonneville,2012-03-13,,,,55,20,,,,,,,,,5.6
Bonneville,2012-03-14,,2,,61,16,,,,,,,,,5.1
Bonneville,2012-03-15,Sp,3,,65,25,,,,,,,,,5.1
Bonneville,2012-03-16,Sp,3,,178,53,,,,,,,,,5.5
Bonneville,2012-03-17,Sp,2,1,145,45,,,,,,,,,5.9
Bonneville,2012-03-18,Sp,2,,74,23,,,,,,,,,6
Bonneville,2012-03-19,Sp,3,,52,23,,,,,,,,,5.9
Bonneville,2012-03-20,Sp,1,,21,10,,,,,,,,,5.7
Bonneville,2012-03-21,Sp,1,,21,8,,,,,,,,,5.7
Bonneville,2012-03-22,Sp,,-1,72,28,,,,,,,,,5.7
Bonneville,2012-03-23,Sp,1,,67,18,,,,,,,,,5.9
Bonneville,2012-03-24,Sp,,,74,27,,,,,,,,,6.1
Bonneville,2012-03-25,Sp,,,82,20,,,,,,,,,6.3
Bonneville,2012-03-26,Sp,2,,70,12,,,,,,,,,6.3
Bonneville,2012-03-27,Sp,1,,79,29,,,,,,,,,6.4
Bonneville,2012-03-28,Sp,3,,95,31,,,,,,,,,6.3
Bonneville,2012-03-29,Sp,,,86,25,,,,,,,,,6.4
Bonneville,2012-03-30,Sp,2,,57,26,,,,,,,,,6.4
Bonneville,2012-03-31,Sp,1,,82,19,,,,,,,,,6.4
Bonneville,2012-04-01,Sp,2,,78,20,,,,,,,,,6.5
Bonneville,2012-04-02,Sp,1,,91,22,,,,,,,,,6.8
Bonneville,2012-04-03,Sp,3,,49,18,,,,,,,,,6.9
Bonneville,2012-04-04,Sp,4,,68,15,,,,,,,,,7
Bonneville,2012-04-05,Sp,17,,64,23,,,,,,,,,6.9
Bonneville,2012-04-06,Sp,20,1,42,6,,,,,,,,,7
Bonneville,2012-04-07,Sp,6,,28,6,,,,,,,,,7
Bonneville,2012-04-08,Sp,6,,30,15,,,,,,,,,7.2
Bonneville,2012-04-09,Sp,15,,60,17,,,,,,,,,7.5
Bonneville,2012-04-10,Sp,16,,33,11,,,,,,,,,7.8
