Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
BON,2014-01-01,121.50,0.48,0.39,117.60,4.44,4.44,,,,7.00,74.33
BON,2014-01-02,120.98,0.48,0.40,114.70,4.44,4.44,,,,7.00,74.07
BON,2014-01-03,118.97,0.48,0.40,129.90,4.44,4.44,,,,7.00,74.28
BON,2014-01-04,122.28,0.48,0.39,119.70,4.44,4.44,,,,7.00,74.55
BON,2014-01-05,126.04,0.48,0.38,121.40,5.00,5.00,,,,7.00,74.30
BON,2014-01-06,145.67,0.48,0.33,147.90,5.00,5.00,,,,7.00,74.19
BON,2014-01-07,150.41,0.48,0.32,147.70,4.44,4.44,,,,7.00,74.22
BON,2014-01-08,148.17,0.48,0.32,148.90,4.40,,,,,,74.31
BON,2014-01-09,152.10,0.48,0.32,151.70,4.44,4.44,,,,7.00,74.01
BON,2014-01-10,145.51,0.49,0.34,157.20,4.44,4.44,,,,7.00,74.62
BON,2014-01-11,115.08,0.48,0.42,109.80,3.89,3.89,,,,7.00,74.95
BON,2014-01-12,146.85,0.51,0.35,148.20,4.44,4.44,,,,7.00,74.87
BON,2014-01-13,139.56,0.48,0.35,135.80,5.00,5.00,,,,7.00,74.86
BON,2014-01-14,124.69,0.48,0.39,122.80,5.00,5.00,,,,6.50,74.54
BON,2014-01-15,124.39,0.48,0.39,135.10,5.00,5.00,,,,7.00,74.47
BON,2014-01-16,152.43,0.49,0.32,146.10,5.00,5.00,,,,7.00,74.94
BON,2014-01-17,138.37,0.48,0.35,133.10,5.00,5.00,,,,7.00,74.67
BON,2014-01-18,127.14,0.48,0.38,131.80,5.00,5.00,,,,7.00,74.34
BON,2014-01-19,127.08,0.48,0.38,131.70,5.00,5.00,,,,7.00,74.73
BON,2014-01-20,140.35,0.53,0.37,136.40,4.44,4.44,,,,7.00,74.68
BON,2014-01-21,149.49,0.53,0.35,143.50,4.44,4.44,,,,7.00,74.32
BON,2014-01-22,137.78,0.53,0.38,144.20,3.89,3.89,,,,7.00,74.32
BON,2014-01-23,135.25,0.53,0.39,134.00,3.89,3.89,,,,7.00,74.72
BON,2014-01-24,139.07,0.53,0.38,139.00,3.89,3.89,,,,7.00,74.73
BON,2014-01-25,132.93,0.52,0.39,127.60,3.89,3.89,,,,5.00,74.39
BON,2014-01-26,132.15,0.53,0.40,141.30,3.89,3.89,,,,6.00,74.78
BON,2014-01-27,134.75,0.53,0.39,125.60,3.89,3.89,,,,7.00,74.28
BON,2014-01-28,130.63,0.53,0.40,142.40,3.89,3.89,,,,6.00,74.20
BON,2014-01-29,119.48,0.53,0.44,115.70,3.89,3.89,,,,7.00,74.89
BON,2014-01-30,114.06,0.53,0.46,115.00,4.40,,,,,,74.89
BON,2014-01-31,119.95,0.53,0.44,124.20,4.44,4.44,,,,7.00,75.28
BON,2014-02-01,117.00,0.53,0.45,120.40,4.44,4.44,,,,7.00,75.57
BON,2014-02-02,121.43,0.53,0.43,119.10,5.00,5.00,,,,7.00,75.66
BON,2014-02-03,119.85,0.53,0.44,117.00,5.00,5.00,,,,7.00,75.33
BON,2014-02-04,124.69,0.54,0.43,119.10,4.44,4.44,,,,7.00,75.18
BON,2014-02-05,131.65,0.53,0.40,128.00,3.89,3.89,,,,7.00,74.80
BON,2014-02-06,137.35,0.88,0.64,144.30,3.30,,,,,,74.20
BON,2014-02-07,133.10,1.14,0.86,133.20,3.33,3.33,,,,7.00,74.68
BON,2014-02-08,135.60,1.17,0.86,131.60,3.33,3.33,,,,7.00,74.52
BON,2014-02-09,132.83,1.14,0.86,132.60,2.78,2.78,,,,7.00,74.13
BON,2014-02-10,130.30,0.91,0.70,130.10,2.22,2.22,,,,7.00,74.43
BON,2014-02-11,124.78,0.52,0.42,125.60,1.67,1.67,,,,7.00,74.42
BON,2014-02-12,112.42,0.53,0.47,109.60,1.67,1.67,,,,7.00,74.43
BON,2014-02-13,100.76,0.53,0.52,99.80,2.22,2.22,,,,7.00,74.63
BON,2014-02-14,132.26,0.53,0.40,143.50,2.22,2.22,,,,7.00,75.04
BON,2014-02-15,169.59,0.59,0.35,172.90,2.78,2.78,,,,6.00,75.31
BON,2014-02-16,139.83,0.58,0.41,129.50,3.33,3.33,,,,4.00,75.31
BON,2014-02-17,159.82,0.58,0.36,158.00,3.33,3.33,,,,4.00,74.49
